TIME,A1,A2,B1,B2,C1,C2,D1,D2,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,A5,A5.1,B5,B5.1,C5,C5.1,D5,D5.1,Unnamed: 27,A1.1,A1.2,B1.1,B1.2,C1.1,C1.2,D1.1,D1.2
0.0,34.6907987333,29.715558423275,32.12434271226667,33.2221277788,34.06233206355,29.40588224375,28.394474928850002,23.510820257299997,,37.89580942165,35.341115644075,30.95878283013333,34.16532381165,38.480396066775,27.542183023299998,26.798881572333332,15.13630168105,,37.793654522125,38.384352625825,31.850613095433335,30.51757862203333,34.0029297885,32.29490483675,23.667272674766668,14.08109232417,,36.793420892358334,34.48034223105834,31.644579545944442,32.635010070827775,35.515219306275,29.747656701266664,26.286876391983338,17.576071420839998
0.5,34.855664004725,30.100189736749996,31.8151988856,28.918642713033336,36.362510891700005,32.0810160565,28.6675813441,22.459093676133335,,38.924318245425,37.226088693324996,32.99576015813333,34.509624242425,37.177966708525,29.899020614633333,26.0,15.23807269975,,37.289969670725,37.79668631925,34.806000429933334,29.730330831233335,33.291146944625,32.621509156875,22.343926639966668,15.894243049399998,,37.02331730695833,35.040988249775,33.20565315788888,31.052865928897223,35.61054151495,31.533848609336115,25.670502661355556,17.86380314176111
1.0,34.163441283524996,30.108975199600003,30.603664105466667,28.285723835933336,37.477659634,29.849458107675,29.686217916625,24.121730547066665,,37.9140014524,36.871736844625005,34.24400245103333,35.57033461185,37.8763558465,31.706092867666666,27.260198688299997,16.559749016650002,,37.51924288445,37.420181985275,34.95554702376666,29.14727967953333,34.42896272205,33.189643552825,20.93839790343333,15.43791271623,,36.532228540125004,34.800298009833334,33.267737860088886,31.001112709105556,36.59432606751667,31.581731509388888,25.961604836119445,18.706464093315557
1.5,32.748437732925,32.0339007847,31.959628469466665,32.50609715786667,36.81866828645,28.933866778925,27.000000046825,23.113668239666666,,39.41144071265,36.469783964375,34.6912322556,34.523204355050005,39.903954402625,31.2347732063,27.788057190900002,18.0504908836,,36.444052924475,38.685169879225,33.94776946366667,31.493076168566663,34.60780163285,34.494173238200005,22.774331937133336,17.58101413276667,,36.20131045668333,35.72961820943333,33.53287672957778,32.84079256049444,37.11014144064166,31.554271074475007,25.85412972495278,19.581724418677776
2.0,36.2215357021,31.1089993182,32.5517890772,33.043665857066664,36.610759547725,29.9841151117,28.715588857575,24.282537669666667,,38.075884252375,36.165125148,34.32778939883333,36.46757344725,39.615202706400005,33.3072609275,26.5314221454,17.0063966845,,37.5060416094,38.869956232075,34.541822232933335,31.73632657056667,35.5189560543,35.2247343048,21.989557826766667,16.545333892266665,,37.26782052129167,35.38136023275833,33.807133569655555,33.74918862496111,37.248306102808336,32.838703448,25.745522943247224,19.278089415477776
2.5,37.960476472475,35.251322751325,32.777588963166664,31.3828177243,36.126754228425,29.763869333149998,29.3589511972,23.17302868046667,,39.414428047525,36.61073801165,36.391963089133334,37.6751536261,39.643607930499996,32.681934374,29.100132026966662,18.48957160235,,37.59740514225,39.303961940375004,36.74256415683333,31.6153866026,36.641016915625,34.595027255225,22.442699538433335,14.7766407668,,38.32410322075,37.055340901116665,35.30403873637778,33.55778598433333,37.470459691516666,32.346943654125,26.967260920866664,18.813080349872223
3.0,36.543252186925,33.6758679667,33.8940597852,32.5909760852,38.542065014675,30.332415268250003,28.6448371362,24.348159962166665,,39.174208346200004,36.639276871175,37.17505518243333,39.007364485800004,41.293026297074995,35.34903848383333,30.666561515266665,17.01356434515,,36.607787500724996,41.24748034505,38.5943135424,32.612438320900004,37.84275869415,37.825852159725,25.465184949099996,15.5342928828,,37.44174934461667,37.187541727641666,36.55447617001111,34.7369262973,39.225950001966666,34.50243530393612,28.258861200188885,18.965339063372223
3.5,34.559807510625,34.511264089425,34.762579050166664,33.7297047078,37.173973854325,29.544316447750003,28.825868854150002,24.750866163500003,,41.154781607675,38.266909663825004,37.5743128633,38.098860930200004,41.40528600495,33.43001851726667,32.01618418823333,20.12354312355,,37.709656738374996,41.323463038625,37.29685265806666,33.2729313722,38.921001255725,36.0153133282,25.33802544303333,15.946969696970001,,37.808081952224995,38.033878930625,36.54458152384444,35.03383233673333,39.166753705,32.996549431072225,28.72669282847222,20.273792994673332
4.0,35.483155891325,35.553617932075,37.11220247086666,34.848571636866666,38.631153133775,31.133988083774994,30.396820501975,24.7917334362,,42.49192892445,38.774338911425,39.13386643723334,39.90398729,45.37679233275,35.35942888096667,34.65821720366667,21.32407066615,,39.1174620661,40.886721869275,37.96048879546667,36.0854951245,39.38398201275,36.893213434174996,26.112121819266665,15.743216826963334,,39.030848960625,38.40489290425833,38.06885256785555,36.94601801712222,41.13064249309167,34.46221013297222,30.389053174969447,20.619673643104445
4.5,37.109119989575,34.368132082575,37.5424290661,33.860499044866664,40.993058964675,32.778208350775,30.936681452875,26.8705109973,,42.527700708075,39.66927515025,40.81974713176667,38.829944833424996,43.359654977925,37.01414104336666,32.40585546216666,22.43221232155,,39.773593349125,42.350494800599996,38.068368081833334,37.30588726716666,40.823013766125,37.133360360699996,27.094440961166665,16.80509874638,,39.803471348925,38.795967344474995,38.810181426566665,36.665443715152776,41.725242569575,35.64190325161389,30.14565929206944,22.035940688409998
5.0,36.5397246528,35.82734769885,38.956869263933335,35.567880349566664,40.677615706475,32.951785680875,32.30121761615,25.024691803166665,,43.24764143085,39.671479620724995,42.29048907726666,40.380176474675,45.58209191917501,39.0707131814,34.0651200651,24.356385663799998,,40.3650627686,43.045411354100004,38.7408066507,38.50991423353333,41.9483689386,37.3981825315,25.85814274666667,17.034702298363335,,40.05080961741667,39.51474622455833,39.9960549973,38.152657019258335,42.73602552141667,36.473560464591664,30.74149347597222,22.13859325511
5.5,36.468098499425,34.758250351925,40.11706685396667,36.28587790300001,41.34444047155,34.81851949935,33.12558894075,24.211507104600003,,43.1714008197,42.834240035475,42.90913114713334,39.92247350765,45.860388857974996,40.5110307787,35.440730912733336,20.9136397331,,41.513762578675,41.113974185749996,39.93574196303334,39.23296764803333,43.3213390972,39.561020159224995,30.083431221966666,17.07373496206,,40.3844206326,39.56882152438333,40.987313321377776,38.480439686227776,43.50872280890834,38.296856812425,32.88325035848334,20.732960599920002
6.0,35.51429018275,35.865092222049995,40.829684121666666,36.141511904366666,41.656209331575,34.654564479,34.197662038825,24.369500759633336,,44.380483103425,41.53729439515,42.6941226941,41.119878591049996,45.1560415415,41.59790804073333,37.01365030383333,22.4029825453,,41.7605554836,41.545736011775,40.4962863669,41.5734020881,44.624760276924995,40.31147984125,31.43841224486667,15.956286690330002,,40.55177625659167,39.649374209658326,41.34003106088889,39.61159752783889,43.81233705,38.85465078699444,34.21657486250833,20.90958999842111
6.5,35.044208918025,36.915052437025004,38.78787878786667,34.4622711792,42.90352958095,36.706303633725,35.314949847674995,23.117717154033333,,47.2651675348,40.670565921649995,44.01454329876666,42.739235667925,48.0350550603,42.989813549,36.8122779962,23.990119151400002,,40.200236173225,42.259558791399996,41.200688044966675,43.886536264,45.632036056225004,39.9922470139,31.922495342033333,15.889028576000001,,40.836537542016664,39.94839238335833,41.33437004386667,40.36268103704167,45.52354023249166,39.896121398874996,34.68324106196945,20.99895496047778
7.0,36.25230227305,37.63443815935,40.180180180166666,35.727166438766666,42.798448371375,36.208563792175,33.450732071625,24.8479954949,,48.173708653549994,41.36764463815,45.54277004753334,43.44665782655,48.613389091674996,45.24648332543333,37.21418071510001,23.18355527075,,41.992650684824994,42.110512163475,42.980227796066664,45.334944159200006,47.5371568034,40.6861217965,34.40925087983334,,,42.139553870475,40.37086498699167,42.901059341255554,41.50292280817222,46.31633142215,40.71372297136944,35.024721222186116,24.015775382824998
7.5,37.1279729924,38.110753362225,40.637123243866675,34.74840948523333,45.446937321925,36.8182748538,33.280079782075,23.8667269712,,47.62240205905,42.50914172295,47.0382088886,43.295125077674996,49.834563573500006,44.898274189266665,39.58043409263333,23.8337934452,,42.148478218624994,42.872663440375,43.59111495803333,46.85119363446666,49.742356734775,42.846405032099995,35.7156339482,17.817239337809998,,42.29961775669167,41.16418617518333,43.7554823635,41.63157606579167,48.34128587673334,41.52098469172222,36.192049274302775,21.83925325140333
8.0,35.9546907492,37.4944624857,42.61049064526667,37.45251333993333,44.88905524625,38.24358868025,33.278829528875,23.34037622683333,,47.863436406225006,40.797509237425004,46.17433537229999,43.04056489197501,53.086406076675004,45.933007800966664,39.97723148483333,22.87459340555,,43.720481015025,41.805441077575004,44.418426008533324,46.443930828166664,50.830593900225004,43.033944278025004,35.45464896866667,18.9349862413,,42.51286939015,40.03247093356667,44.401084008699996,42.31233635335833,49.60201840771666,42.40351358641389,36.23690332745833,21.71665195789444
8.5,37.1267116596,37.854764530375,41.64777021916667,36.1775094641,45.08958496757501,36.863927440975004,34.62300100705,23.046044431933336,,46.4594491417,42.8119877593,47.20995722126667,45.917381466150005,51.13842609060001,47.60504504876667,41.37059010230001,21.65770265075,,44.061602162975,42.088487948775,44.498594229,50.4928588553,52.336864869825,44.6823012884,36.98766337683333,16.066770025733334,,42.549254321424996,40.91841341281667,44.452107223144445,44.19591659518333,49.52162530933334,43.05042459271389,37.66041816206111,20.25683903613889
9.0,39.705470277025,38.813969741125,42.976488345633335,38.35111899686667,46.73751293995,38.15365728785,34.47968802605,22.817628338133332,,48.335072051124996,42.22622562125,47.284917684566665,45.367729480675,53.066490119625,48.8275119764,39.897004442433335,22.953216374249998,,43.61287952445,42.15169022155,45.6269629064,51.5358537511,53.251611234,44.389650850225,37.91327599616667,17.42418475006667,,43.88447395086666,41.063961861308336,45.29612297886666,45.084900742880556,51.01853809785833,43.79027337149167,37.42998948821667,21.065009820816666
9.5,36.695753854900005,40.191839593825,42.278431286166665,37.804330112,48.024665884425005,37.666963815875,32.36526736955,24.5126705653,,47.714830697925,41.780162233825,46.721330628333334,46.596191071774996,54.073873341825,49.33192218636666,41.88256287963333,25.5974025974,,43.473661148125004,42.193177402025,46.595914696499996,52.966166987466664,55.7390822161,43.767990709174995,35.8337292957,18.932926725566666,,42.628081900316666,41.38839307655834,45.19855887033333,45.78889605708056,52.61254048078333,43.58895890380555,36.69385318162778,23.01433329608889
10.0,36.374315995025,40.044115335325,42.451384324366664,38.23130906623334,47.075127599275,40.142177507175,35.192925183525,22.9377132083,,46.618564622724996,43.616015447675,46.2161350415,47.7347056472,54.10976260825,50.365291914800004,44.280038469400004,26.36285283345,,43.4646720624,42.147044311025,47.87422887033333,52.877076562966664,55.545589525025,45.621688273225,40.47889843866667,19.239300002896666,,42.15251756005,41.93572503134167,45.51391607873333,46.28103042546667,52.243493244183334,45.3763858984,39.983954030530555,22.846622014882218
10.5,37.989527254799995,42.185312761025,42.6166166166,39.37517849406667,50.6599378882,40.24909483145,35.41394646245,25.700369053366668,,47.01348585447499,42.616595146125,47.440259571199995,47.245071029575,55.074732928775,51.19289039546667,43.97721117906667,26.28205128205,,44.491550337875,42.379649939,47.193536982599994,54.880972538200005,56.867159298199994,46.4229573682,39.5610427361,20.942452043366668,,43.164854482383326,42.39385261538333,45.75013772346666,47.16707402061389,54.200610038391666,45.95498086503889,39.65073345920556,24.308290792927778
11.0,37.370795499225004,42.581403035899996,41.838001835099995,41.38632872506667,51.730689697025,39.973922094399995,35.362230362225,25.109626351133333,,47.566569349775,41.754257466625,48.151755804900006,46.964518437950005,58.066301314325,51.760270909233334,43.1152092344,25.58340535865,,43.8957291655,40.430473025,48.1562172194,55.30051036463334,59.096528747025005,46.656140031374996,39.205362175733335,22.393880590833334,,42.944364671500004,41.58871117584167,46.04865828646666,47.883785842550004,56.29783991945834,46.13011101166944,39.22760059078612,24.362304100205552
11.5,36.85592741545,41.779140847025,41.57994041836667,44.61907183416667,48.9608287642,42.679151582675,35.97556622085,24.963447981766667,,47.164668182575,42.366031498074996,46.70257455906667,49.264125132375,59.002498870725,50.225211444100005,44.18779363053333,28.514026341250002,,43.4714227976,42.145522325325,48.5273186983,55.72609208973333,59.572624224349994,48.533272993000004,39.49533949533333,23.13938044396667,,42.497339465208334,42.096898223474994,45.60327789191111,49.869763018758334,55.845317286424994,47.14587867325833,39.88623311557222,25.538951588994447
12.0,39.654555223125,43.0875883601,41.9541906886,41.318082788666665,52.2237654342,42.175451793525,36.215353749624995,25.451940451733336,,46.983721546875,41.646595224075,47.812889997366675,49.885418763425,60.883465760375,51.648629148633326,45.114797574533334,29.24310776945,,42.962771370325,41.004407186925,48.270491675399995,58.26711099716667,58.878344417975,48.258010657099994,40.327711572366674,24.226521198833336,,43.20034938010834,41.91286359036667,46.01252412045556,49.82353751641944,57.328525204183336,47.36069719975277,40.55262096550833,26.307189806672223
12.5,41.6849452319,45.746287005275,42.78352739686667,41.887275178466666,50.802562368124995,43.27106464255,37.5862325548,25.624512021766666,,45.868823021850005,42.38505402775,46.911206528499996,52.061109701775,60.3330446231,52.0065490932,44.11016175313333,28.35407298965,,43.23249056842501,40.330060159,49.074070219633334,57.851472659,58.81970476355001,47.61136413245,39.837221439500006,24.807000908666666,,43.59541960739167,42.820467064008334,46.25626804833333,50.59995251308055,56.651770584925,47.6296592894,40.511205249144446,26.26186197336111
13.0,40.1311854996,48.326615631950006,44.3438599275,42.668751002066664,53.23750647285,40.99896615675,36.104351448425,27.226557256166668,,48.085966394725,42.73570782485,47.49630729056667,52.79123934735,61.956009935875,53.7049596381,44.855679201633336,31.681818181799997,,43.412919859125,40.251928355749996,49.4311044959,58.572447071700005,60.201829186,48.7505395459,41.91285803113333,23.797858655066666,,43.876690584483335,43.77141727085,47.09042390465556,51.34414580703889,58.46511519824167,47.81815511358334,40.95762956039723,27.568744697677776
13.5,42.072506788875,47.3371418365,43.96484670196667,42.12776133676666,53.39909535300001,42.301540049225,36.412279392625,26.320673174733333,,47.403183202525,43.4847153867,49.2980084358,53.658216332325,62.247018819524996,56.3038377744,42.32230270183334,30.40172855315,,42.7035538465,41.115715678849995,50.492804476233324,59.566189412133326,61.06022328282501,49.714075701325,41.85349041413333,27.668925961633335,,44.05974794596667,43.97919096735,47.918553204666665,51.784055693741664,58.902112485116675,49.439817841650004,40.19602416953055,28.130442563172224
14.0,42.327517429675,50.408004745125,44.48785425100001,42.95728335273333,53.477600452500006,42.57124356662501,36.951663177425,26.6112652629,,47.481255575275,42.23815349825,46.93636931006666,54.802722036425,62.704029742124995,55.21385776903333,43.419750440933335,30.42508958615,,42.711629352275,42.083136935774995,50.777578260633334,60.79411815539999,61.741197932275,50.2342457326,41.628208242233335,28.32011911406667,,44.17346745240834,44.90976505971667,47.400600607233336,52.85137451485277,59.30760937563334,49.33978235608612,40.666540620197225,28.452157987705558
14.5,45.002595079125,49.628074828075,43.44298824483334,41.914070891533335,54.567056740575,42.310516629725,37.650966183575,26.28298401323333,,47.56860449875,42.618816217125,47.32587183253333,57.26211605625001,65.58222873482501,54.436994182166664,43.9116613774,29.2857142857,,44.303739612225,41.76681130155,51.60005218116667,60.01020563266667,62.529107280925004,50.07219537562501,43.05038037573333,28.537829828499998,,45.62497973003334,44.67123411558333,47.456304086177774,53.062130860150006,60.89279758544166,48.93990206250555,41.53766931223611,28.035509375811113
