TIME,A5,A6,B5,B6,C5,C6,D5,D6,Unnamed: 9,A5.1,A5.2,B5.1,B5.2,C5.1,C5.2,D5.1,D5.2,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,A1,A1.1,B1,B1.1,C1,C1.1,D1,D1.1
0.0,38.11783647355,31.360075580074998,38.260275852424996,33.953900093725,34.10926419296667,35.3591002512,34.682429490275005,34.833327111850004,,,,,,,,,,,32.824294733125,36.353600103625,34.847692660175,38.41357220735,33.56977574983333,42.082050880725,33.687713033600005,30.5964730471,,35.4710656033375,33.856837841849995,36.5539842563,36.1837361505375,33.8395199714,38.7205755659625,34.18507126193751,32.714900079475
0.5,37.907744638625005,32.487343546999995,38.540188191675,34.182236192525,34.02403834576666,36.6140350877,34.451072099575,36.5,,39.395127377775,42.449197165475,32.629662068200005,35.035581873575,34.585465294975,30.588224811999996,28.0082847451,32.7329302837,,32.70065754235,37.049674881275,33.915823107525,39.640908117675,32.81104921076667,41.438679245275,34.36695339526667,33.22395064263333,,36.66784318625,37.328738531249996,35.02855778913334,36.286242061258335,33.80685095050277,36.21364638165833,32.27543674664722,34.15229364211111
1.0,38.33854455962501,30.407538381900004,37.24907015465,33.963146024275005,35.08218895176667,40.8856663471,33.720124516300004,35.94717668485,,40.631274975025,42.103467294425,32.82421583045,35.556446428775,33.339115682425,29.8061503216,29.645100039675004,36.13711546636667,,34.957751783675,38.016790435125,33.146830430325,38.694337118600004,34.44317880356666,41.154012370675,33.729762496599996,32.6479460233,,37.975857106108336,36.84259870381667,34.40670547180833,36.07130985721667,34.28816114591944,37.281943013124994,32.36499568419167,34.91074605817223
1.5,39.3088324259,32.05715598735,37.344860390425,34.276595206275,35.683312962,43.33333333335,33.733058337375,37.5328323362,,38.828849328175,41.063617293275,31.987488521575003,35.2687852279,33.276834293875,31.14661890396667,29.696562066675,32.4143955276,,34.183157259075,37.327407862075006,34.524976712925,39.03765167395,35.836512957366665,40.224609866475,33.06286400006667,34.29538892446667,,37.44027967105,36.816060380900005,34.61910854164167,36.19434403604166,34.93222007108056,38.23485403459722,32.16416146803889,34.74753892942223
2.0,38.53207359155,33.108777507325,38.2056051587,33.85127646565,38.5286040564,44.04088734235,32.774885125425,38.098794409449994,,41.166606555775004,39.846195240625,33.841005321775,35.34042892035,34.84880794292499,31.442715279766663,29.364088292675,33.211910119433334,,34.12869965045,38.10836923155,34.774456690925,38.5990691687,36.86674766863334,42.7393200472,35.257863028833334,34.61363461763333,,37.94245993259167,37.02111399316667,35.60702239046666,35.930258184900005,36.74805322265278,39.40764088977222,32.465612148977776,35.308113048838884
2.5,36.781995690924994,32.34000390575,37.6804296403,35.847551475624996,36.9283923043,42.140495867750005,31.985491646174996,37.39192568775,,39.668264588199996,40.08639292255,35.337372496475,34.985259404649995,36.13887737185,31.892016428633337,28.93908128485,31.345640018300003,,35.429260227475,38.060352777350005,34.721981500925,40.272051068025,35.9905061739,41.591270109275,36.607382616100004,35.01321013843333,,37.2931735022,36.82891653521667,35.91326121256666,37.03495398276666,36.35259195001667,38.54126080188612,32.510651849041665,34.58359194816111
3.0,38.7560071885,33.7812978703,36.879752713775,33.74865543115,36.093111868933335,41.201348960649995,34.3963422241,36.36192754615,,38.253862611524994,39.22074053765,33.0022469262,33.46430666055,35.699987206,31.302565458900002,27.41838098315,32.777777777766666,,38.143909930625,37.703065653875,36.08155938765,39.35633159295,35.63742534,42.268813030175,34.2835901595,34.749593779,,38.38459324355,36.90170135394167,35.321186342541665,35.52309789488333,35.81017480497778,38.257575816575,32.032771122250004,34.62976636763889
3.5,40.396670280875,33.34462787162499,35.747382318650004,34.1290812196,38.82530233646667,40.3155664585,34.824429302824996,39.0401342374,,38.3776699327,39.619458995975,34.495408481025,37.1797008009,35.305385122475,34.27963267043333,28.82784507435,32.77280441726666,,39.452152877675,40.020858815924996,36.762402537875005,41.252307381125,36.669184655766664,41.688192242975,35.30125836103334,36.3989791073,,39.408831030416664,37.66164856117499,35.668397779183344,37.520363133875,36.93329070490278,38.76113045730278,32.98451091273611,36.07063925398889
4.0,41.24099283935,34.09239598945,34.55225291305,36.269579778775004,38.91245446253333,41.1000763942,34.590525525475,39.2065246517,,42.049062543975,37.823140609925005,33.4774986575,37.108747009175005,36.459099097125005,33.37103333633333,29.172963651875,35.32680833116667,,39.58645274605,38.5385295011,37.916995553125005,43.07973898825,35.52477928816666,41.8930289687,35.4945138199,36.93055595166666,,40.958836043125,36.818022033491665,35.31558237455833,38.81935525873334,36.96544428260833,38.78804623307778,33.08600099908333,37.15462964484444
4.5,40.736971277425,32.640539159125,34.692175836800004,34.463624338625,37.9106521597,38.25,34.8154329783,40.5692002463,,42.385717601699994,40.607384139975,34.272734203225,37.31369820655,37.000498704475,33.06074308983333,27.939067974275,33.64320339176666,,42.268591966875,40.441124532025,38.109170942325,41.523867619499995,37.1936260089,42.15960294265,34.4645495256,36.70489436683334,,41.79709361533333,37.896349277041665,35.691360327450006,37.767063388225004,37.368258957691666,37.82344867749444,32.40635015939167,36.9724326683
