,TIME,A3,A4,B3,B4,C3,C4,D3,D4
0,0,40.89931035,37.73179015,41.43945723,39.25467679,37.6192908,44.60820181,43.25463606,39.28911698
1,0.5,42.03311354,38.82271705,42.93866294,42.66636789,38.04001625,43.75687887,43.64266407,39.9394876
2,1,42.07945712,38.94461241,43.18196929,43.28222085,39.34567054,47.44385739,43.29730683,39.31755696
3,1.5,41.21389628,38.24431119,44.77368862,43.98097422,37.32802037,45.83898787,43.6204235,41.30589192
4,2,41.21643911,39.59188736,44.36904886,42.34884203,36.65813452,47.60641077,46.5455598,41.56797576
5,2.5,43.39526599,40.59225274,44.48917738,42.80157794,38.62035802,47.27612081,46.62040049,41.54524283
6,3,41.35313983,41.83776277,44.60236484,43.19407955,39.70235713,47.81883691,48.90879113,40.82949309
7,3.5,41.74297682,42.61022196,45.5641266,43.86497739,39.94618121,48.96907692,49.80594441,43.05030661
8,4,41.87723688,44.25713507,46.13555998,45.79546226,43.42236439,50.33368471,50.83628869,44.16466505
9,4.5,42.67323131,44.1915827,47.14855419,44.24638439,41.16011137,50.02598465,51.78632043,45.67282709
10,5,42.3225496,45.88284105,49.90330117,46.41625212,43.24275362,51.11689353,52.46123918,46.9211062
11,5.5,43.77056433,46.03093718,50.56335025,49.48930088,45.90044,52.63066279,53.78632999,48.09892486
12,6,45.22290813,45.51574981,47.96071458,48.86710461,46.33502438,53.34268876,55.43164427,49.00356994
13,6.5,46.51551927,45.73379002,50.10671587,49.67813912,45.95566479,54.50929181,55.55328236,49.33605534
14,7,46.57700959,45.60706955,50.66412187,49.51639698,47.47974373,55.04857982,55.34236861,49.51796426
15,7.5,45.90938716,46.43700732,51.97788528,48.80842609,48.32299189,55.62748413,55.68681048,49.96786682
16,8,47.60492384,46.90850164,50.4514135,46.72245575,47.48067517,56.12734425,56.0274907,50.66812539
17,8.5,47.17524527,47.72088677,50.29954166,48.10431327,48.47369229,53.87893772,57.15391463,50.33751398
18,9,48.00378585,47.82046152,49.19464558,46.26646543,49.4346301,54.13755328,54.6953658,51.61074296
19,9.5,47.71700591,48.52564926,49.89276114,46.28323731,49.37599257,53.65025748,56.34184064,51.23938759
20,10,47.9155467,47.76179485,50.21290576,43.97406705,48.7211132,53.88113096,56.34637044,50.96949514
21,10.5,47.48840905,48.10956825,49.03219053,44.54296782,48.16352309,54.10940263,56.21771608,49.46516904
22,11,49.18300212,46.92784192,48.88950563,45.40232576,48.48492594,53.7017921,54.99005306,48.05040513
23,11.5,47.57887938,45.54082422,48.31864178,45.05906864,50.43149546,53.75691222,54.70978197,47.61146656
24,12,47.53151985,45.16939148,48.47291418,43.10707017,49.96948306,52.85957225,53.94188226,48.68782592
25,12.5,48.43280652,46.23194941,49.34188747,44.91112286,49.07200654,52.80406675,49.28676184,46.04252228
26,13,46.8111822,45.73409533,46.41334491,41.63151747,47.1945638,51.08215587,50.35895342,47.39356829
27,13.5,47.81650178,45.9184603,49.09221712,42.11832679,47.35133944,50.41832855,51.33963488,47.85514645
28,14,48.10159852,43.82339363,47.58126382,39.23110376,46.77923201,50.02564632,50.09717064,47.0597854
29,14.5,47.78063181,43.95372039,46.25169131,38.49379541,46.43373667,50.88272687,52.256823,46.68938847
30,15,47.39520491,43.85011772,47.63831477,38.65159949,46.67615409,51.22008912,51.11420945,47.23898434
31,15.5,48.40097505,42.80868322,47.2161079,39.30721895,44.68597199,50.84238809,52.12031741,44.53800357
32,16,47.9967006,42.76265084,48.35699352,37.80073093,44.57433691,51.20844751,51.11138428,44.64909315
33,16.5,49.55441968,42.21720353,47.31701991,37.38215259,45.91299912,50.08556418,48.30348577,42.54516899
34,17,48.06984931,44.04864727,47.11291367,38.67388201,45.0799247,49.36219146,50.04676895,43.49560393
35,17.5,50.18555124,42.57616271,45.60797646,37.44307147,42.96979617,48.61880902,50.41909663,41.95788528
