x1,x2,x3,x4,x5,x6,x7,x8,x9
alpha,1.202183918,20.49531347,16.56836437,19.48340196,21.60351125,10.33435899,6.2502888,0
beta,0.743901464,8.759474727,7.160382298,7.155716074,7.152476614,7.151412107,7.150130541,0
gamma1,0.571937226,0.005677455,1.55E-06,0.004383492,0.00806281,0.009680437,0.011385938,0
gamma2,0.242509394,8.730605884,7.146737427,7.1513113,7.154452829,7.15589589,7.157375014,0
drug cons.,0,1,10,20,50,125,250,500
