x1,x2,x3,x4,x5,x6,x7,x8,x9
alpha,18.25105826,12.19961196,15.60260148,11.77792934,8.870525324,5.539547604,2.79863386,3.016053866
beta,8.263470918,10.12014983,8.341983558,8.400345695,8.492087169,12.80628986,9.178742869,10.8955709
gamma1,0.631031326,8.339254546,0.705851228,0.547334688,0.43447323,5.469504077,1.698858391,1.466180918
gamma2,7.688616815,1.882686583,7.595718619,7.632962358,7.678477905,0.069084577,2.240512681,3.770812165
drug cons.,0,5,10,25,50,100,250,500
