,TIME,AVG,AVG.1,AVG.2,AVG.3,AVG.4,AVG.5,AVG.6,AVG.7
0,0.0,37.89580942165,35.341115644075,30.95878283013333,34.16532381165,38.480396066775,27.542183023299998,26.798881572333332,15.13630168105
1,0.5,38.924318245425,37.226088693324996,32.99576015813333,34.509624242425,37.177966708525,29.899020614633333,26.0,15.23807269975
2,1.0,37.9140014524,36.871736844625005,34.24400245103333,35.57033461185,37.8763558465,31.706092867666666,27.260198688299997,16.559749016650002
3,1.5,39.41144071265,36.469783964375,34.6912322556,34.523204355050005,39.903954402625,31.2347732063,27.788057190900002,18.0504908836
4,2.0,38.075884252375,36.165125148,34.32778939883333,36.46757344725,39.615202706400005,33.3072609275,26.5314221454,17.0063966845
5,2.5,39.414428047525,36.61073801165,36.391963089133334,37.6751536261,39.643607930499996,32.681934374,29.100132026966662,18.48957160235
6,3.0,39.174208346200004,36.639276871175,37.17505518243333,39.007364485800004,41.293026297074995,35.34903848383333,30.666561515266665,17.01356434515
7,3.5,41.154781607675,38.266909663825004,37.5743128633,38.098860930200004,41.40528600495,33.43001851726667,32.01618418823333,20.12354312355
8,4.0,42.49192892445,38.774338911425,39.13386643723334,39.90398729,45.37679233275,35.35942888096667,34.65821720366667,21.32407066615
9,4.5,42.527700708075,39.66927515025,40.81974713176667,38.829944833424996,43.359654977925,37.01414104336666,32.40585546216666,22.43221232155
10,5.0,43.24764143085,39.671479620724995,42.29048907726666,40.380176474675,45.58209191917501,39.0707131814,34.0651200651,24.356385663799998
11,5.5,43.1714008197,42.834240035475,42.90913114713334,39.92247350765,45.860388857974996,40.5110307787,35.440730912733336,20.9136397331
12,6.0,44.380483103425,41.53729439515,42.6941226941,41.119878591049996,45.1560415415,41.59790804073333,37.01365030383333,22.4029825453
13,6.5,47.2651675348,40.670565921649995,44.01454329876666,42.739235667925,48.0350550603,42.989813549,36.8122779962,23.990119151400002
14,7.0,48.173708653549994,41.36764463815,45.54277004753334,43.44665782655,48.613389091674996,45.24648332543333,37.21418071510001,23.18355527075
15,7.5,47.62240205905,42.50914172295,47.0382088886,43.295125077674996,49.834563573500006,44.898274189266665,39.58043409263333,23.8337934452
16,8.0,47.863436406225006,40.797509237425004,46.17433537229999,43.04056489197501,53.086406076675004,45.933007800966664,39.97723148483333,22.87459340555
17,8.5,46.4594491417,42.8119877593,47.20995722126667,45.917381466150005,51.13842609060001,47.60504504876667,41.37059010230001,21.65770265075
18,9.0,48.335072051124996,42.22622562125,47.284917684566665,45.367729480675,53.066490119625,48.8275119764,39.897004442433335,22.953216374249998
19,9.5,47.714830697925,41.780162233825,46.721330628333334,46.596191071774996,54.073873341825,49.33192218636666,41.88256287963333,25.5974025974
20,10.0,46.618564622724996,43.616015447675,46.2161350415,47.7347056472,54.10976260825,50.365291914800004,44.280038469400004,26.36285283345
21,10.5,47.01348585447499,42.616595146125,47.440259571199995,47.245071029575,55.074732928775,51.19289039546667,43.97721117906667,26.28205128205
22,11.0,47.566569349775,41.754257466625,48.151755804900006,46.964518437950005,58.066301314325,51.760270909233334,43.1152092344,25.58340535865
23,11.5,47.164668182575,42.366031498074996,46.70257455906667,49.264125132375,59.002498870725,50.225211444100005,44.18779363053333,28.514026341250002
24,12.0,46.983721546875,41.646595224075,47.812889997366675,49.885418763425,60.883465760375,51.648629148633326,45.114797574533334,29.24310776945
25,12.5,45.868823021850005,42.38505402775,46.911206528499996,52.061109701775,60.3330446231,52.0065490932,44.11016175313333,28.35407298965
26,13.0,48.085966394725,42.73570782485,47.49630729056667,52.79123934735,61.956009935875,53.7049596381,44.855679201633336,31.681818181799997
27,13.5,47.403183202525,43.4847153867,49.2980084358,53.658216332325,62.247018819524996,56.3038377744,42.32230270183334,30.40172855315
28,14.0,47.481255575275,42.23815349825,46.93636931006666,54.802722036425,62.704029742124995,55.21385776903333,43.419750440933335,30.42508958615
29,14.5,47.56860449875,42.618816217125,47.32587183253333,57.26211605625001,65.58222873482501,54.436994182166664,43.9116613774,29.2857142857
30,15.0,47.3141866696,42.714684023974996,47.58336195096666,56.61862662,64.3616091828,53.823417555566664,43.990066370866664,32.707509881449994
31,15.5,47.4775163682,42.39134451165,47.655711385,56.5026611248,66.733559650975,56.1569801195,42.2856891392,31.8062397373
32,16.0,47.83436616845,42.809029524100005,48.7278273279,56.6258092466,68.39857353654999,56.675259381166676,42.59591707136667,35.464004499400005
33,16.5,49.451662743575,43.011695826825004,48.30125150843333,58.229381682574996,67.38105308165001,54.4996568784,41.76307858443334,35.1106639839
34,17.0,48.007750928324995,43.310673393049996,47.823834780333335,59.187266366025,67.99898269510001,55.191567509766664,42.662007309733326,34.77953009335
35,17.5,47.99280191525,44.61446691947501,49.3316723609,59.189574764999996,68.379129539925,55.315461755266675,43.1156156156,34.811237928050005
36,18.0,47.34147595985,45.131486676025,49.04759444403334,59.583758859525,68.348071417,55.87191401573333,42.57136710143333,34.0314305076
37,18.5,47.725840336125,45.024939800475,48.75148093823333,60.24151269585,68.98173427674999,56.30085060896667,42.5863231072,34.73816518765
38,19.0,48.841045284450004,43.66528233005,48.68613795943333,63.1446962018,66.113023748675,57.1270469605,42.115099143200005,32.9377342363
39,19.5,48.97844679785,45.74496442985,49.95094426433334,62.555230728375,70.19302273822501,55.706926891,42.26582351583333,35.81457843465
40,20.0,50.95564094705,45.33084407232499,49.6747725077,62.12194636115,69.56851220345001,53.88964739556667,43.01104605226667,30.862824401750004
41,20.5,47.9166886616,44.7096227869,48.645678367066665,64.898112009875,69.000767344025,55.23897849876667,40.981408953633334,30.66102203405
42,21.0,48.9176070066,44.280086634475,48.13847598286667,64.86129260125,68.866159856725,55.7344877345,41.6827230502,33.50058385635
43,21.5,49.935623394525,45.596506076349996,47.119213410966665,65.86203118077499,69.48414094374999,56.2915978357,40.89860352153334,33.35216572505
44,22.0,50.505003070475,45.301587301575005,47.899330059600004,67.10784781447501,70.27355403645,54.098242391300005,40.73334719623333,31.5061107117
45,22.5,51.029279335325,45.857565099575,49.83912413583334,67.05932439087499,70.8471102047,54.41442879253333,40.27431405146667,32.654455986849996
46,23.0,50.382459377925,46.3169030426,50.32400940283333,65.122975752175,72.28713852864999,54.4920743902,40.408404181399995,33.61469712015
47,23.5,50.750148124275,47.195872325399996,49.6471173806,66.35187745085,69.73223758282501,53.489394884599996,37.279586294666665,30.903822829150002
48,24.0,50.625122283775,46.650494219925,49.387358052100005,67.9652332102,71.46388483135,53.91997837253333,39.0631520204,33.641304347849996
49,24.5,50.478593825800004,48.457889058300005,49.142800091299996,66.89096053915,71.474127938525,54.4630443794,38.508301404866664,33.746690203
50,25.0,51.869490306575,50.483344257,50.26349838550001,68.59333533885,71.90930900895,52.666914024866664,37.9825981097,27.97018348625
51,25.5,50.38859534687501,50.906659726600004,51.49557123096667,70.07043369762499,72.067369070575,52.39176628959999,36.49196984596667,29.29660768405
52,26.0,52.174433431,49.940379396275006,53.0487888979,68.576467057725,71.46308241277501,54.050851109700005,35.279659504933335,28.87445887445
53,26.5,50.42951839825,49.752185823275,51.97853258086667,68.36915747215,72.85134330775,53.2468263588,36.27322649773333,29.429655672750002
54,27.0,51.6514908781,50.565804106875,51.19221675243333,68.635437800725,71.94230855455,52.241702464199996,34.490829571966664,26.59389952155
55,27.5,51.59627359779999,50.698160749875,53.039254448066664,69.124693477225,70.98539197795,51.446912565266665,34.6594463028,29.45468509985
56,28.0,51.685316373125005,48.43660909195,51.95894317323333,67.922652379175,71.19665205095,48.98885384156667,36.1594322356,25.99693251535
57,28.5,51.602964411825,48.75622329264999,53.35678675103333,68.01208262365,72.171605003875,52.11632355006666,34.44694498803333,28.14635718895
58,29.0,51.311061331975,48.85749086827501,52.487317746866665,68.773818866475,71.711734693875,51.211449910333336,32.469497910566666,29.8909883721
59,29.5,51.120865262375,48.215667089600004,50.87255730013334,69.0500721832,71.52076849155,51.4524708296,34.38928863376666,27.4823878383
60,30.0,52.30629626082501,50.522353946375006,52.46932268116666,69.7976005669,72.6970102583,49.34334581573333,32.459935888500006,24.554556922099998
61,30.5,50.799562099125,50.249368099950004,53.2097115372,68.74858874852501,72.276090986025,50.3133260603,33.537252447566665,28.18356760375
62,31.0,50.2070719993,51.276520779725004,52.74503883506667,68.7117727234,72.20981098109999,50.86500841293333,33.39639489586667,28.615211948549998
63,31.5,48.968517618350006,50.349718686825,52.6264728227,70.5792863051,70.62532628985001,49.82334849470001,33.4857261325,27.246341264
64,32.0,49.484650749475,53.646612704625,50.98496459893334,69.20926896375,71.109021233325,48.9902398802,32.84687689726667,24.55070603335
65,32.5,49.887320184225,52.65844225675,53.11685283553334,69.68338622107501,72.70386966585001,49.459938573166674,32.4771926187,25.797612057149998
66,33.0,49.21841806355,50.66378265425,52.67684188263333,71.05196533372501,72.276745346225,49.95894909686666,31.510920898366663,25.128360012050003
67,33.5,49.918421935675,51.03901578975,52.561073222999994,70.797139019575,70.91523955414999,51.230012358900005,31.151293833,30.8301240907
68,34.0,48.788418478925,52.21126747545,51.6781657011,71.182199714575,71.20423499555,49.767422037066666,30.004078866400004,28.8992248062
69,34.5,48.348392680874994,51.182799052149996,51.8479017752,71.80683538115,69.24899132475,50.454047454033336,30.864958547733334,30.04958677685
70,35.0,50.4671805377,50.438314737375,51.17162835103333,70.696814150775,70.94527648565,49.82168090976666,30.264400413233332,27.601626016250002
71,35.5,48.768807058875,51.911237988175,51.14012512803333,70.549664999725,69.9494385918,49.204483454266665,30.297157622733334,25.3151260504
72,36.0,49.697075443624996,52.029857287525,51.4471850391,70.39295134755,69.41261376985001,48.19775170193333,30.167148675333333,23.8019732206
73,36.5,49.575857259524994,52.016133474300005,51.10672320153333,71.790791252325,69.831566162525,48.4094509604,30.2572069661,22.776362092
74,37.0,50.284436638025,53.29567779085,53.22632762713334,70.87865598855,70.053239741375,47.809030849766664,29.76199155633333,24.192546583850003
75,37.5,52.83396432325,54.2376650204,49.898694116133335,69.65089766575,70.70853340925001,45.01638988386667,29.808142807866663,24.6246246246
76,38.0,52.524405601825,52.916893683750004,49.89506756506666,69.86532985287499,68.828160866825,46.56569307396666,29.257836581766664,24.77657935285
77,38.5,53.571125311525,53.48918696655001,50.46724804836666,70.395433815175,67.75155897265,44.440614730899995,29.070803802266667,25.7142857143
