x1,x2,x3,x4,x5,x6,x7,x8,x9
alpha,0.221067338,0.2206004,0.112479,0.039842592,0.034279609,0.011821029,0.164324786,0
beta,0.145209779,0.1461575,0.0702412,0.021165795,0.018340735,0.004677249,0.15099831,0
tau1,0.24627515,0.315210735,3.88927,26.48810357,28.82853791,25.23920265,1.145701936,0
tau2,14.1677961,14.79016079,18.9302,29.15107968,32.38353419,28.10893714,10.48415112,0
history,9.469855971,9.217959046,12.1924,27.13872167,33.4551118,99.36754834,7.495470584,0
gamma1,0.053392163,0.052922932,0.0315075,0.026804621,0.038455221,0.002095195,0.001743987,0
gamma2,0.050290059,0.050140265,0.0222634,0.012064442,0.018793446,0.044183756,0.200505567,0
drug cons.,0,1,10,20,50,125,250,500
