time,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,1.0172513361717548,1.01088300180391,1.0298287018055519,1.0337409783480354,1.0398532551394304,1.0327623976633122,1.016422330941468,1.0099758682764828
1.0,1.0342316163148837,1.0054305210212406,1.0123450126332756,1.0489263120377796,1.038850798636161,1.0552882394536358,1.005692297113749,1.0054630031968714
1.5,1.0358154894012137,1.016087282433816,1.044237351408376,1.0524881938875523,1.0632006842337398,1.0305523205199272,1.0095851614556155,1.0273685259772662
2.0,1.0486676499230003,1.028980404823428,1.0535824239596652,1.0501826606076807,1.0580433514190486,1.0576880880806185,1.0216443320202877,1.0278930015017418
2.5,1.0531482131533654,1.0296599182552453,1.0649606022231604,1.0673215717722535,1.0669033249469377,1.0531131406703054,1.0257387490023429,1.0488087237105674
3.0,1.0481073731014283,1.052205137893488,1.068075850818958,1.0904615521696517,1.0856662066239915,1.071633127416283,1.039354335310751,1.047279853980093
3.5,1.0718635821481413,1.0607340979636943,1.0804057661325883,1.0899046600730642,1.1050094452650838,1.0619656639092614,1.046153709997168,1.0655170623163113
4.0,1.0984697719449226,1.05317553182845,1.0887538601675146,1.1226766461730375,1.120338179210136,1.0716129176971403,1.0490014480549532,1.0557545476033015
4.5,1.088366388486276,1.056769883639673,1.1191067772658938,1.1138265169740713,1.1162545957907206,1.078547294296151,1.056113169482085,1.0984631321222307
5.0,1.0916155222393333,1.0743901443128077,1.1004565550643175,1.129544239508153,1.1213234286189864,1.0937028069745296,1.0952900890183304,1.081438866698341
5.5,1.1000795946945678,1.0688845822566753,1.1067461623858947,1.1417825002227568,1.1002240983438019,1.1138785471388368,1.0898355694667627,1.0820483076159073
6.0,1.1235258232176828,1.0923478661856239,1.130698909963423,1.1630557783123943,1.111088306163222,1.1189796135013361,1.0978968705121128,1.0938308320221943
6.5,1.1199306153184165,1.092456933677864,1.12907907023401,1.1829368261605633,1.1369318265266748,1.1303543541062595,1.0960743212948851,1.095376563518421
7.0,1.136433421656551,1.1112121341394048,1.1450227823097787,1.172576405595652,1.1448215435715008,1.1364721248010121,1.1218094203321736,1.1267780358937751
7.5,1.1377094373735543,1.129902450717501,1.1643654278449107,1.1853270070391162,1.1581646355656456,1.1474513323312865,1.1315615186303636,1.0999792883797663
8.0,1.132205277878431,1.1455061308566137,1.1601193782260633,1.1721487124654728,1.1675180015247721,1.1563169585749615,1.139242261760109,1.0921813932056335
8.5,1.150419110653139,1.1500536094453384,1.1765966972383182,1.1990220974783927,1.1770947314803153,1.1473795989325715,1.1490011890251752,1.1268955907527092
9.0,1.1567760704472023,1.1535613613833227,1.176018404255391,1.2140381359707741,1.1936396503972375,1.1771559550713515,1.1584477695495268,1.1175310435552839
9.5,1.179471645982426,1.1686557822631758,1.1663398105378953,1.2119018978882652,1.2076021922272222,1.1636024512834726,1.1637568792029545,1.1624513247080677
10.0,1.1758568578826587,1.1803355110266036,1.1884486990722132,1.227733226410051,1.2270954380115118,1.2053488464025812,1.1807970746589755,1.1482055201541375
10.5,1.1939435373071232,1.1919278882875854,1.211753591546309,1.2586095518132407,1.2354785474875751,1.1899161718616749,1.1914289518995829,1.1623199223105334
11.0,1.2100318567503094,1.2146041351794972,1.1975089085967539,1.2495767620065936,1.2300437648788796,1.197303601505202,1.198330702218739,1.1633243165165323
11.5,1.2003167746172658,1.2153344343685504,1.2040438431548384,1.2427091686714782,1.2456034343869513,1.2036486760191027,1.1871917349406367,1.1779751615745129
12.0,1.21306018245916,1.2238241675198673,1.2316738568282635,1.250605898601087,1.2890949301991683,1.209502609940872,1.184140854741752,1.1717091503580066
12.5,1.2198120489476705,1.2470881275088164,1.2387870843692754,1.2603091864920253,1.2766657947218671,1.210091912025982,1.2035096494086899,1.1676081003325798
13.0,1.2208910831295106,1.258945972080022,1.2229175292504255,1.2700280673616682,1.299321095842125,1.2243935085493773,1.2010372298005438,1.177917891258622
13.5,1.24084755374883,1.2436070076219263,1.2296705081518793,1.2566626570435715,1.3083572404204384,1.2234126709164819,1.2177666876402293,1.1939227808722517
14.0,1.250003538590452,1.261148062828076,1.2084838857572189,1.2684576316492917,1.3005126523603927,1.2345319029293877,1.2248757795226441,1.180045368595215
14.5,1.2422464765075338,1.2945713275803228,1.236224461629918,1.2927514924708188,1.322510946226634,1.225149263211382,1.2093946097316075,1.186102085009562
15.0,1.2410542074312287,1.286738355841581,1.270857813881186,1.307714069321928,1.3248473948247648,1.2484419639049973,1.210815074088796,1.1977550871798055
15.5,1.2651387976718906,1.2988190686298409,1.286852186973824,1.3052035997505125,1.3153569506870153,1.24273427284098,1.2123095385439449,1.192247527139982
16.0,1.278946141709696,1.3186398761640095,1.2988173766278008,1.31884300098013,1.341818385432684,1.2448609571322986,1.228802239241787,1.2009434829424588
16.5,1.2868140796267777,1.3251153242975313,1.2970336880614368,1.330983248685735,1.3523392079640644,1.2532237833304907,1.229778585270405,1.1904450193029914
17.0,1.278533777969019,1.3469817821331644,1.3123545389241553,1.3434353559654282,1.365539864381615,1.2566793121766446,1.2146795825193517,1.200249076631801
17.5,1.2892332959658184,1.3442652316643102,1.2941287079320005,1.3621602958210817,1.3677001419293218,1.2669229747640571,1.2177692975614782,1.1899482388557159
18.0,1.3080182572394843,1.3631985479336293,1.3234583061514256,1.3721620778757906,1.3998398510743502,1.2812666563619308,1.2356110528163287,1.192319779060134
