time,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.9999546479687558,1.0102193265057886,1.0264902666756495,0.995191179920244,1.0110822283841143,1.0079063843364067,1.0178396871945259,1.0098592144759648
1.0,0.9938845770323269,1.0341049642997695,1.0439063847860002,1.0179214104158434,1.0161750005615833,1.0043602850456266,1.0310545827399318,1.0089516481348384
1.5,1.0040664123441794,1.0473069508477817,1.0385075635380792,1.0159455017039984,1.0276643767768632,1.0045864241844142,1.0034765536938914,1.0024053326568862
2.0,1.0206515828736686,1.0544235716007662,1.0516102489210515,1.0326685622802243,1.0124805705904623,1.0173219186102753,1.0080341815020812,1.002991586690906
2.5,1.023228669623034,1.0650335249845688,1.0532044143426504,1.0444252643038279,1.0257002394809986,1.0194191151637961,1.009933774834437,1.003506250088079
3.0,1.0543817347766398,1.0778706525374777,1.0627804539575976,1.045619676009074,1.0142810611676438,1.0322827409591013,1.0184257471559075,1.0115272199439114
3.5,1.0603688114958914,1.098070943433696,1.0650230205406432,1.0293170047279965,1.0386479856694921,1.0240055393482101,1.0184634065365952,1.0304570244789244
4.0,1.049485628965377,1.095477180963684,1.0848086063565159,1.044089623485713,1.0386479856694921,1.0133536646420211,1.0275972947835443,1.0400563705801942
4.5,1.0622953833387756,1.099287295435388,1.0639211604690701,1.05561528538219,1.0486834777287055,1.0549238085055468,1.042584147626248,1.0396313364055298
5.0,1.0676553292440432,1.1288554198308058,1.0867379988031498,1.0774869807548002,1.0475195965147872,1.0403036798311043,1.027859455560237,1.0510599078341014
5.5,1.0799044183996995,1.1195373927916257,1.0840522690614238,1.0762639673663308,1.0475518875496728,1.0365314414015365,1.045516283862542,1.0491551459293396
6.0,1.0749180357128227,1.1179971945508764,1.0924990868403288,1.0784790282381873,1.0636328229226761,1.0435392090476021,1.0412402796283229,1.0517216984455813
6.5,1.098192057367101,1.1246136657250412,1.0839409230277401,1.0943008978457376,1.0562682754245158,1.044694088476832,1.0356986401265558,1.0992088389069743
7.0,1.1080828964908647,1.1587649778732256,1.1003902065028859,1.0939589132258025,1.0499039624215905,1.0304795677136103,1.0509294571625425,1.105391564142674
7.5,1.1203742537396406,1.153016973884588,1.1187635735488193,1.1175358644412765,1.0629690931992546,1.060144949672374,1.0464875244056435,1.0831437872574303
8.0,1.1273461776137692,1.156145447520303,1.1146625371373617,1.126558951094763,1.0513165154227186,1.0621140148564505,1.0496334872680435,1.0694085316873123
8.5,1.1169541575816306,1.1554496778879726,1.1340702515366843,1.1245512316877626,1.060542711279933,1.0445960807074888,1.0519122026422512,1.0817305768119618
9.0,1.1508980053298878,1.1776206905822053,1.125729470915617,1.1517708655107726,1.049586839119284,1.042596891923311,1.0531410086958202,1.0808230104708352
9.5,1.153320704987085,1.1711429686033616,1.1375396803379716,1.161445381586534,1.0583587689438456,1.0508439699341015,1.0722086717772064,1.0840744655364365
10.0,1.1741321552338584,1.1946087530248133,1.1524623111097019,1.1616703136759827,1.0684973663116912,1.0620160070871074,1.0781597679477766,1.0867165546301385
10.5,1.1995006653581877,1.205676113925587,1.1703975018725554,1.1885688542016384,1.0680017691241,1.0455082742316784,1.0867687015344063,1.1016051522710297
11.0,1.2075474996693691,1.2110914779711952,1.1695973312619636,1.1893312281167217,1.0743139644652056,1.050533399859819,1.099769770453706,1.1035854507532517
11.5,1.2516005960719874,1.2129057159909815,1.1955361766450416,1.192413901031033,1.0663270183985618,1.0684734886862548,1.108835861752791,1.1131092602770611
12.0,1.2473475089153316,1.2433012948158797,1.1829257966120952,1.1943247301076887,1.0759036901222172,1.0586659233350135,1.1169675417227534,1.1236967826491353
12.5,1.2627398303190325,1.2410331078907266,1.2129644894826463,1.2288147974167796,1.0863170181081823,1.105427084765265,1.1016869272625371,1.1268214039092996
13.0,1.2663737101004533,1.2627449837621865,1.2048933221442377,1.2366087626441182,1.1062135690010448,1.0818437000945287,1.1159349988188154,1.1257576910610352
13.5,1.2866836780672894,1.2759574933199738,1.2233979166749231,1.2451075884339073,1.1060079747556018,1.09342431509116,1.1029035952725645,1.1147682464521766
14.0,1.2753813666937024,1.2915148802226384,1.2418422063390784,1.2455001051682713,1.120578422493572,1.0569908814589666,1.1368244166217287,1.14047604954974
14.5,1.2803173442552729,1.3182051454132777,1.2751580856078109,1.2613996503285958,1.1264425840060004,1.0810129675734295,1.1253505106397352,1.1133691286517566
15.0,1.3015659529719916,1.3005453519154477,1.2527271934656738,1.2689283590662035,1.1432813827767632,1.098530901722391,1.1270854416632796,1.1291652926337745
15.5,1.307790536815901,1.3067249955381457,1.2694106536836167,1.2764018684325715,1.1397737819534002,1.1030193181374621,1.117346466704831,1.1138747727560985
16.0,1.3360645584701791,1.305075274596591,1.2842334230970942,1.2720823637314695,1.162196395786318,1.0747349547467158,1.1433184669762535,1.1284138727997859
16.5,1.3423213042190847,1.319188470391979,1.3121607768693517,1.295880474810121,1.1710850253424698,1.08579540729653,1.1312032781757155,1.1361084569962936
17.0,1.3444477410006939,1.328897124309173,1.3040053527999822,1.302165278836679,1.1795488719847775,1.0978147237368878,1.1349549608565495,1.1369263941149115
17.5,1.3582551054683432,1.340920779053981,1.325453805679622,1.3202184333818554,1.1960455501515725,1.1253829091421308,1.1495800580741025,1.1316512352203383
18.0,1.362108035560674,1.3475080237336305,1.3303678018909175,1.3277795902510026,1.1845238829014073,1.1419886497669027,1.1536623315864278,1.155803774010344
