plateID,well,field,n_0,time_slice,elapsed_minutes,Drug1,Drug1Concentration,Drug2,Drug2Concentration,treatment,cell_cycle_state_threshold,n,length,Nuclei_CKn_NR_area,Nuclei_CKn_CC_mean_intensity,Cyto_CKn_CC_mean_intensity,Cell_CKn_CC_mean_intensity_ratio,Cell_CKn_CC_max_intensity_ratio,Cell_CKn_CC_min_intensity_ratio,G1_proportion,neighborhood_20,neighborhood_45,neighborhood_70,drugs,cell_count_norm_T0
HC00901,A1,1,189,00d05h00m,300,Untreated,0,none,none,Untreated,0.8,189,68.01,147.92,527.16,343.81,0.76,0.96,0.57,0.48,1.56,3.16,4.67,Untreated,1
HC00901,A1,1,189,00d05h30m,330,Untreated,0,none,none,Untreated,0.8,192,67.59,146.63,528.21,346.52,0.76,0.96,0.57,0.47,1.62,3.15,4.68,Untreated,1.0158730158730158
HC00901,A1,1,189,00d06h00m,360,Untreated,0,none,none,Untreated,0.8,195,67.11,144.52,529.71,346.84,0.76,0.98,0.56,0.49,1.65,3.12,4.71,Untreated,1.0317460317460319
HC00901,A1,1,189,00d06h30m,390,Untreated,0,none,none,Untreated,0.8,195,67.13,144.21,525.94,346.6,0.77,0.99,0.56,0.49,1.57,3.05,4.71,Untreated,1.0317460317460319
HC00901,A1,1,189,00d07h00m,420,Untreated,0,none,none,Untreated,0.8,194,67.75,143.77,527.01,346.81,0.77,0.98,0.57,0.49,1.62,2.98,4.76,Untreated,1.0264550264550265
HC00901,A1,1,189,00d07h30m,450,Untreated,0,none,none,Untreated,0.8,192,69.02,146.81,523.72,347.44,0.77,0.98,0.57,0.49,1.57,3.02,4.68,Untreated,1.0158730158730158
HC00901,A1,1,189,00d08h00m,480,Untreated,0,none,none,Untreated,0.8,191,69.83,146.21,532.14,346.55,0.76,0.98,0.57,0.5,1.5,3,4.6,Untreated,1.0105820105820107
HC00901,A1,1,189,00d08h30m,510,Untreated,0,none,none,Untreated,0.8,194,71.22,145.49,526.09,343.8,0.77,0.98,0.57,0.5,1.58,3.06,4.57,Untreated,1.0264550264550265
HC00901,A1,1,189,00d09h00m,540,Untreated,0,none,none,Untreated,0.8,197,71.16,146.06,513.91,342.77,0.77,0.98,0.57,0.5,1.54,3.2,4.79,Untreated,1.0423280423280423
HC00901,A1,1,189,00d09h30m,570,Untreated,0,none,none,Untreated,0.8,192,74.27,145.53,515.37,345.3,0.79,1.01,0.57,0.48,1.56,3.07,4.61,Untreated,1.0158730158730158
