plateID,well,field,n_0,time_slice,elapsed_minutes,Drug1,Drug1Concentration,Drug2,Drug2Concentration,treatment,cell_cycle_state_threshold,n,length,Nuclei_CKn_NR_area,Nuclei_CKn_CC_mean_intensity,Cyto_CKn_CC_mean_intensity,Cell_CKn_CC_mean_intensity_ratio,Cell_CKn_CC_max_intensity_ratio,Cell_CKn_CC_min_intensity_ratio,G1_proportion,neighborhood_20,neighborhood_45,neighborhood_70,drugs,cell_count_norm_T0
HC00701,C1,1,143,01d15h00m,2340,BEZ235,10,none,none,BEZ235_10,0.8,191,86.71,174.13,437.22,256.68,0.64,0.84,0.61,0.24,1.99,3.65,5.04,BEZ235,1.3356643356643356
HC00701,C1,1,143,01d15h30m,2370,BEZ235,10,none,none,BEZ235_10,0.8,190,87.22,173.86,439.54,258.37,0.65,0.85,0.6,0.25,1.99,3.58,4.94,BEZ235,1.3286713286713288
HC00701,C1,1,143,01d16h00m,2400,BEZ235,10,none,none,BEZ235_10,0.8,192,86.26,175.33,438.96,258.73,0.64,0.84,0.61,0.22,1.99,3.53,5.01,BEZ235,1.3426573426573427
HC00701,C1,1,143,01d16h30m,2430,BEZ235,10,none,none,BEZ235_10,0.8,191,87.65,176.48,427.89,253.89,0.65,0.85,0.61,0.25,1.93,3.49,5.06,BEZ235,1.3356643356643356
HC00701,C1,1,143,01d17h00m,2460,BEZ235,10,none,none,BEZ235_10,0.8,194,86.55,175.22,430.15,257.22,0.66,0.85,0.61,0.27,1.98,3.55,5.05,BEZ235,1.3566433566433567
HC00701,C1,1,143,01d17h30m,2490,BEZ235,10,none,none,BEZ235_10,0.8,191,87.69,176.75,419.19,259.51,0.67,0.85,0.61,0.29,1.92,3.44,4.99,BEZ235,1.3356643356643356
HC00701,C1,1,143,01d18h00m,2520,BEZ235,10,none,none,BEZ235_10,0.8,190,88.15,178.26,414.26,258.12,0.68,0.85,0.62,0.29,1.96,3.46,5.03,BEZ235,1.3286713286713288
HC00701,C1,1,143,01d18h30m,2550,BEZ235,10,none,none,BEZ235_10,0.8,189,89.14,177.58,412.63,260.98,0.68,0.87,0.61,0.3,1.93,3.5,4.97,BEZ235,1.3216783216783217
HC00701,C1,1,143,01d19h00m,2580,BEZ235,10,none,none,BEZ235_10,0.8,188,89.59,178.79,406.1,259.38,0.69,0.86,0.62,0.29,1.86,3.54,4.88,BEZ235,1.3146853146853146
HC00701,C1,1,143,01d19h30m,2610,BEZ235,10,none,none,BEZ235_10,0.8,192,88.4,177.48,406.92,257.4,0.69,0.86,0.62,0.29,1.96,3.64,5.03,BEZ235,1.3426573426573427
HC00701,C1,1,143,01d20h00m,2640,BEZ235,10,none,none,BEZ235_10,0.8,194,87.83,179.72,414.31,257.13,0.69,0.86,0.62,0.3,1.89,3.65,5.08,BEZ235,1.3566433566433567
HC00701,C1,1,143,01d20h30m,2670,BEZ235,10,none,none,BEZ235_10,0.8,194,87.79,181.81,411.29,255.68,0.69,0.86,0.62,0.29,1.85,3.63,5.02,BEZ235,1.3566433566433567
HC00701,C1,1,143,01d21h00m,2700,BEZ235,10,none,none,BEZ235_10,0.8,196,86.93,180.64,414.89,256.68,0.69,0.88,0.62,0.32,1.86,3.65,5.19,BEZ235,1.3706293706293706
HC00701,C1,1,143,01d21h30m,2730,BEZ235,10,none,none,BEZ235_10,0.8,195,86.95,183.92,410.99,255.36,0.69,0.87,0.63,0.31,1.83,3.67,5.25,BEZ235,1.3636363636363635
HC00701,C1,1,143,01d22h00m,2760,BEZ235,10,none,none,BEZ235_10,0.8,197,86.17,179.91,412.46,257.01,0.69,0.86,0.63,0.31,1.87,3.6,5.23,BEZ235,1.3776223776223777
HC00701,C1,1,143,01d22h30m,2790,BEZ235,10,none,none,BEZ235_10,0.8,200,85.2,178.29,414.79,257.98,0.69,0.86,0.62,0.32,1.93,3.74,5.32,BEZ235,1.3986013986013985
HC00701,C1,1,143,01d23h00m,2820,BEZ235,10,none,none,BEZ235_10,0.8,201,84.79,177.15,421.1,259.47,0.69,0.87,0.62,0.31,2,3.83,5.42,BEZ235,1.4055944055944056
HC00701,C1,1,143,01d23h30m,2850,BEZ235,10,none,none,BEZ235_10,0.8,195,88.72,181.33,422.61,260.16,0.69,0.86,0.62,0.32,1.99,3.71,5.21,BEZ235,1.3636363636363635
HC00701,C1,1,143,02d00h00m,2880,BEZ235,10,none,none,BEZ235_10,0.8,194,90.01,182.89,413.12,258.41,0.7,0.88,0.63,0.35,1.87,3.74,5.18,BEZ235,1.3566433566433567
HC00701,C1,1,143,02d00h30m,2910,BEZ235,10,none,none,BEZ235_10,0.8,189,91.85,185.28,416.48,266.74,0.71,0.89,0.62,0.37,1.84,3.63,4.98,BEZ235,1.3216783216783217
HC00701,C1,1,143,02d01h00m,2940,BEZ235,10,none,none,BEZ235_10,0.8,188,93.08,186.31,410.51,261.55,0.72,0.88,0.63,0.36,1.83,3.66,4.93,BEZ235,1.3146853146853146
HC00701,C1,1,143,02d01h30m,2970,BEZ235,10,none,none,BEZ235_10,0.8,188,93.07,188.91,406.99,260,0.72,0.9,0.63,0.37,1.85,3.71,4.96,BEZ235,1.3146853146853146
HC00701,C1,1,143,02d02h00m,3000,BEZ235,10,none,none,BEZ235_10,0.8,189,93.24,188.94,396.58,258.78,0.73,0.89,0.64,0.39,1.83,3.73,5.19,BEZ235,1.3216783216783217
HC00701,C1,1,143,02d02h30m,3030,BEZ235,10,none,none,BEZ235_10,0.8,191,92.05,186.06,396.68,258.41,0.73,0.88,0.64,0.41,1.76,3.6,5.16,BEZ235,1.3356643356643356
HC00701,C1,1,143,02d03h00m,3060,BEZ235,10,none,none,BEZ235_10,0.8,190,92.81,187.12,393.12,260.71,0.74,0.91,0.64,0.43,1.81,3.63,5.17,BEZ235,1.3286713286713288
HC00701,C1,1,143,02d03h30m,3090,BEZ235,10,none,none,BEZ235_10,0.8,187,93.93,191.16,393.58,259.82,0.74,0.92,0.65,0.47,1.75,3.57,5.19,BEZ235,1.3076923076923077
HC00701,C1,1,143,02d04h00m,3120,BEZ235,10,none,none,BEZ235_10,0.8,180,96.96,190.47,410.18,267.42,0.73,0.89,0.64,0.46,1.8,3.62,5.02,BEZ235,1.2587412587412588
HC00701,C1,1,143,02d04h30m,3150,BEZ235,10,none,none,BEZ235_10,0.8,181,96.91,188.87,407.78,266.88,0.74,0.89,0.63,0.46,1.85,3.65,5.1,BEZ235,1.2657342657342658
HC00701,C1,1,143,02d05h00m,3180,BEZ235,10,none,none,BEZ235_10,0.8,186,97.25,185.38,411.95,268.5,0.74,0.88,0.63,0.45,1.82,3.7,5.17,BEZ235,1.3006993006993006
HC00701,C1,1,143,02d05h30m,3210,BEZ235,10,none,none,BEZ235_10,0.8,192,96.36,186.45,411.75,266.33,0.74,0.89,0.64,0.45,1.83,3.65,5.09,BEZ235,1.3426573426573427
HC00701,C1,1,143,02d06h00m,3240,BEZ235,10,none,none,BEZ235_10,0.8,199,93.75,180.17,411.05,264.38,0.73,0.89,0.65,0.43,1.83,3.76,5.27,BEZ235,1.3916083916083917
HC00701,C1,1,143,02d06h30m,3270,BEZ235,10,none,none,BEZ235_10,0.8,203,92.84,183.29,403.2,259.22,0.73,0.88,0.65,0.43,1.73,3.78,5.33,BEZ235,1.4195804195804196
HC00701,C1,1,143,02d07h00m,3300,BEZ235,10,none,none,BEZ235_10,0.8,203,92.72,184.23,407.59,263.54,0.73,0.89,0.65,0.43,1.79,3.75,5.33,BEZ235,1.4195804195804196
HC00701,C1,1,143,02d07h30m,3330,BEZ235,10,none,none,BEZ235_10,0.8,201,93.48,185.36,404.39,265.79,0.74,0.89,0.64,0.44,1.88,3.8,5.33,BEZ235,1.4055944055944056
HC00701,C1,1,143,02d08h00m,3360,BEZ235,10,none,none,BEZ235_10,0.8,203,93.03,188.44,393.97,263.99,0.75,0.9,0.66,0.47,1.87,3.83,5.33,BEZ235,1.4195804195804196
HC00701,C1,1,143,02d08h30m,3390,BEZ235,10,none,none,BEZ235_10,0.8,203,92.71,184.13,395.59,262.66,0.75,0.9,0.66,0.45,1.85,3.91,5.33,BEZ235,1.4195804195804196
HC00701,C1,1,143,02d09h00m,3420,BEZ235,10,none,none,BEZ235_10,0.8,202,92.57,184.46,399.22,264.88,0.75,0.9,0.65,0.46,1.9,3.89,5.38,BEZ235,1.4125874125874125
HC00701,C1,1,143,02d09h30m,3450,BEZ235,10,none,none,BEZ235_10,0.8,201,93.52,185.2,405.52,265.88,0.74,0.9,0.65,0.43,1.87,3.81,5.43,BEZ235,1.4055944055944056
HC00701,C1,1,143,02d10h00m,3480,BEZ235,10,none,none,BEZ235_10,0.8,199,94.64,185.18,416.44,267.93,0.73,0.88,0.65,0.42,1.88,3.88,5.49,BEZ235,1.3916083916083917
HC00701,C1,1,143,02d10h30m,3510,BEZ235,10,none,none,BEZ235_10,0.8,199,95.05,186.39,416.55,273.2,0.74,0.9,0.65,0.46,1.95,3.9,5.56,BEZ235,1.3916083916083917
HC00701,C1,1,143,02d11h00m,3540,BEZ235,10,none,none,BEZ235_10,0.8,201,93.67,184.88,425.46,276.95,0.74,0.89,0.64,0.44,2,3.95,5.54,BEZ235,1.4055944055944056
HC00701,C1,1,143,02d11h30m,3570,BEZ235,10,none,none,BEZ235_10,0.8,200,94.7,185.34,420,273.82,0.73,0.88,0.65,0.43,1.94,3.9,5.56,BEZ235,1.3986013986013985
HC00701,C1,1,143,02d12h00m,3600,BEZ235,10,none,none,BEZ235_10,0.8,199,95.15,186.12,417.01,272.42,0.74,0.88,0.66,0.42,1.93,3.79,5.53,BEZ235,1.3916083916083917
HC00701,C1,1,143,02d12h30m,3630,BEZ235,10,none,none,BEZ235_10,0.8,203,93.86,186.31,413.2,266.44,0.73,0.87,0.65,0.4,1.93,3.94,5.64,BEZ235,1.4195804195804196
HC00701,C1,1,143,02d13h00m,3660,BEZ235,10,none,none,BEZ235_10,0.8,204,92.64,190.51,408.96,265.44,0.73,0.86,0.66,0.41,1.89,3.92,5.59,BEZ235,1.4265734265734267
HC00701,C1,1,143,02d13h30m,3690,BEZ235,10,none,none,BEZ235_10,0.8,208,91.98,185.86,411.92,269.27,0.73,0.87,0.66,0.43,1.92,4.09,5.8,BEZ235,1.4545454545454546
HC00701,C1,1,143,02d14h00m,3720,BEZ235,10,none,none,BEZ235_10,0.8,210,91.3,183.12,405,267.32,0.74,0.89,0.65,0.42,1.91,4.13,5.85,BEZ235,1.4685314685314685
HC00701,C1,1,143,02d14h30m,3750,BEZ235,10,none,none,BEZ235_10,0.8,211,91.04,183,403.96,266.58,0.74,0.88,0.65,0.39,1.93,4.16,5.8,BEZ235,1.4755244755244756
HC00701,C1,1,143,02d15h00m,3780,BEZ235,10,none,none,BEZ235_10,0.8,212,90.73,184.31,403.27,266.69,0.75,0.9,0.66,0.41,1.88,4.14,5.84,BEZ235,1.4825174825174825
HC00701,C1,1,143,02d15h30m,3810,BEZ235,10,none,none,BEZ235_10,0.8,215,89.48,181.68,403.56,270.3,0.75,0.89,0.66,0.43,1.94,4.23,5.98,BEZ235,1.5034965034965035
HC00701,C1,1,143,02d16h00m,3840,BEZ235,10,none,none,BEZ235_10,0.8,214,89.29,184.74,402.98,267.11,0.74,0.88,0.66,0.43,1.91,4.23,5.91,BEZ235,1.4965034965034965
HC00701,C1,1,143,02d16h30m,3870,BEZ235,10,none,none,BEZ235_10,0.8,211,90.64,187.97,402.63,264.08,0.74,0.87,0.66,0.42,1.91,4.19,5.85,BEZ235,1.4755244755244756
HC00701,C1,1,143,02d17h00m,3900,BEZ235,10,none,none,BEZ235_10,0.8,208,91.41,189.78,405.87,263.85,0.74,0.87,0.66,0.44,1.88,4.12,5.78,BEZ235,1.4545454545454546
HC00701,C1,1,143,02d17h30m,3930,BEZ235,10,none,none,BEZ235_10,0.8,209,90.77,189.39,397.94,262.08,0.74,0.87,0.67,0.46,1.89,4.12,5.82,BEZ235,1.4615384615384615
HC00701,C1,1,143,02d18h00m,3960,BEZ235,10,none,none,BEZ235_10,0.8,214,89.4,185.87,400.55,262.4,0.74,0.88,0.66,0.47,1.94,4.12,5.84,BEZ235,1.4965034965034965
HC00701,C1,1,143,02d18h30m,3990,BEZ235,10,none,none,BEZ235_10,0.8,216,88.99,187.77,402.08,263.4,0.75,0.89,0.66,0.45,1.82,4.02,5.8,BEZ235,1.5104895104895104
HC00701,C1,1,143,02d19h00m,4020,BEZ235,10,none,none,BEZ235_10,0.8,217,88.89,184.2,409.83,266.04,0.75,0.88,0.65,0.47,1.89,4.07,5.8,BEZ235,1.5174825174825175
HC00701,C1,1,143,02d19h30m,4050,BEZ235,10,none,none,BEZ235_10,0.8,216,89.28,185.13,410.15,265.36,0.74,0.9,0.66,0.46,1.98,4.08,5.75,BEZ235,1.5104895104895104
HC00701,C1,1,143,02d20h00m,4080,BEZ235,10,none,none,BEZ235_10,0.8,214,89.62,186.27,410.41,265.24,0.74,0.9,0.65,0.44,1.95,4.17,5.79,BEZ235,1.4965034965034965
HC00701,C1,1,143,02d20h30m,4110,BEZ235,10,none,none,BEZ235_10,0.8,215,89.32,187.53,413.41,268.63,0.74,0.9,0.65,0.46,1.97,4.16,5.87,BEZ235,1.5034965034965035
HC00701,C1,1,143,02d21h00m,4140,BEZ235,10,none,none,BEZ235_10,0.8,216,88.34,189.1,417.62,266.37,0.73,0.89,0.66,0.45,2.02,4.28,5.92,BEZ235,1.5104895104895104
HC00701,C1,1,143,02d21h30m,4170,BEZ235,10,none,none,BEZ235_10,0.8,216,88.14,189.79,420.32,265.94,0.73,0.89,0.66,0.44,2,4.32,6.06,BEZ235,1.5104895104895104
HC00701,C1,1,143,02d22h00m,4200,BEZ235,10,none,none,BEZ235_10,0.8,218,86.56,190.38,415.84,264.12,0.73,0.89,0.66,0.46,1.96,4.22,5.99,BEZ235,1.5244755244755244
HC00701,C1,1,143,02d22h30m,4230,BEZ235,10,none,none,BEZ235_10,0.8,216,87.21,189.96,412.51,265.04,0.73,0.9,0.66,0.45,1.99,4.37,6.12,BEZ235,1.5104895104895104
HC00701,C1,1,143,02d23h00m,4260,BEZ235,10,none,none,BEZ235_10,0.8,217,85.75,190.14,416.74,267.14,0.74,0.89,0.66,0.45,1.93,4.31,6.08,BEZ235,1.5174825174825175
