plateID,well,field,n_0,time_slice,elapsed_minutes,Drug1,Drug1Concentration,Drug2,Drug2Concentration,treatment,cell_cycle_state_threshold,n,length,Nuclei_CKn_NR_area,Nuclei_CKn_CC_mean_intensity,Cyto_CKn_CC_mean_intensity,Cell_CKn_CC_mean_intensity_ratio,Cell_CKn_CC_max_intensity_ratio,Cell_CKn_CC_min_intensity_ratio,G1_proportion,neighborhood_20,neighborhood_45,neighborhood_70,drugs,cell_count_norm_T0
HC01001,A1,1,180,00d05h00m,300,Untreated,0,none,none,Untreated,0.8,180,59.15,143.59,537.88,356.69,0.76,0.97,0.56,0.47,1.69,3.56,5.12,Untreated,1
HC01001,A1,1,180,00d05h30m,330,Untreated,0,none,none,Untreated,0.8,182,60.16,145.51,523.61,353.12,0.76,0.97,0.56,0.48,1.6,3.48,5.18,Untreated,1.011111111111111
HC01001,A1,1,180,00d06h00m,360,Untreated,0,none,none,Untreated,0.8,182,60.44,146.89,528.09,352.23,0.76,0.97,0.55,0.47,1.55,3.31,5.05,Untreated,1.011111111111111
HC01001,A1,1,180,00d06h30m,390,Untreated,0,none,none,Untreated,0.8,181,60.67,148.66,529.31,348.61,0.75,0.96,0.56,0.44,1.5,3.34,5.03,Untreated,1.0055555555555555
HC01001,A1,1,180,00d07h00m,420,Untreated,0,none,none,Untreated,0.8,178,63.79,146.88,531.45,352.28,0.76,0.98,0.56,0.48,1.52,3.21,4.8,Untreated,0.9888888888888889
HC01001,A1,1,180,00d07h30m,450,Untreated,0,none,none,Untreated,0.8,178,63.96,144.78,526.25,354.31,0.77,0.98,0.56,0.48,1.52,3.24,4.83,Untreated,0.9888888888888889
HC01001,A1,1,180,00d08h00m,480,Untreated,0,none,none,Untreated,0.8,179,63.98,150.72,521.83,342.31,0.76,0.99,0.56,0.45,1.5,3.17,4.69,Untreated,0.9944444444444445
HC01001,A1,1,180,00d08h30m,510,Untreated,0,none,none,Untreated,0.8,179,64.28,148.85,539.76,345.38,0.74,0.96,0.54,0.4,1.48,3.18,4.69,Untreated,0.9944444444444445
HC01001,A1,1,180,00d09h00m,540,Untreated,0,none,none,Untreated,0.8,179,66.91,146.47,540.05,351.46,0.75,0.97,0.54,0.44,1.51,3.08,4.52,Untreated,0.9944444444444445
HC01001,A1,1,180,00d09h30m,570,Untreated,0,none,none,Untreated,0.8,184,67.08,143.48,533.16,352.44,0.77,1,0.55,0.46,1.6,3.18,4.68,Untreated,1.0222222222222221
HC01001,A1,1,180,00d10h00m,600,Untreated,0,none,none,Untreated,0.8,185,68.24,143.74,523.87,347.44,0.77,0.98,0.56,0.45,1.55,3.19,4.77,Untreated,1.0277777777777777
HC01001,A1,1,180,00d10h30m,630,Untreated,0,none,none,Untreated,0.8,186,68.61,145.58,517.24,343.85,0.76,0.98,0.56,0.44,1.49,3.1,4.74,Untreated,1.0333333333333334
HC01001,A1,1,180,00d11h00m,660,Untreated,0,none,none,Untreated,0.8,184,69.54,145.16,520.04,346.13,0.76,0.97,0.55,0.46,1.49,3.16,4.79,Untreated,1.0222222222222221
HC01001,A1,1,180,00d11h30m,690,Untreated,0,none,none,Untreated,0.8,179,70.91,148.6,533.13,348.62,0.76,0.97,0.55,0.45,1.47,3.09,4.6,Untreated,0.9944444444444445
HC01001,A1,1,180,00d12h00m,720,Untreated,0,none,none,Untreated,0.8,181,71.43,146.51,542.77,346.16,0.75,0.96,0.55,0.42,1.5,3.32,4.9,Untreated,1.0055555555555555
HC01001,A1,1,180,00d12h30m,750,Untreated,0,none,none,Untreated,0.8,186,70.66,146.49,532.04,341.08,0.75,0.97,0.55,0.42,1.53,3.3,5.01,Untreated,1.0333333333333334
HC01001,A1,1,180,00d13h00m,780,Untreated,0,none,none,Untreated,0.8,191,72.78,147.87,529.89,336.03,0.73,0.96,0.54,0.4,1.53,3.38,5.08,Untreated,1.0611111111111111
HC01001,A1,1,180,00d13h30m,810,Untreated,0,none,none,Untreated,0.8,197,72.29,142.18,521.1,339.08,0.75,0.97,0.54,0.41,1.54,3.39,5.13,Untreated,1.0944444444444446
HC01001,A1,1,180,00d14h00m,840,Untreated,0,none,none,Untreated,0.8,198,76.02,141.25,527.84,340.84,0.74,0.96,0.54,0.4,1.54,3.46,5.26,Untreated,1.1
HC01001,A1,1,180,00d14h30m,870,Untreated,0,none,none,Untreated,0.8,196,76.39,142.74,527.3,335.97,0.73,0.95,0.54,0.39,1.5,3.5,5.34,Untreated,1.0888888888888888
HC01001,A1,1,180,00d15h00m,900,Untreated,0,none,none,Untreated,0.8,196,76.88,144.2,535.04,341.12,0.74,0.97,0.55,0.4,1.56,3.5,5.41,Untreated,1.0888888888888888
HC01001,A1,1,180,00d15h30m,930,Untreated,0,none,none,Untreated,0.8,197,78.28,146.93,531.32,335.21,0.73,0.94,0.56,0.39,1.55,3.54,5.43,Untreated,1.0944444444444446
HC01001,A1,1,180,00d16h00m,960,Untreated,0,none,none,Untreated,0.8,198,78.07,147.94,518.47,340.52,0.75,0.97,0.57,0.4,1.53,3.62,5.59,Untreated,1.1
HC01001,A1,1,180,00d16h30m,990,Untreated,0,none,none,Untreated,0.8,201,77.34,146.74,521.34,340.01,0.75,0.95,0.56,0.38,1.57,3.62,5.59,Untreated,1.1166666666666667
HC01001,A1,1,180,00d17h00m,1020,Untreated,0,none,none,Untreated,0.8,197,78.23,149.7,541.16,338.05,0.72,0.92,0.55,0.38,1.5,3.45,5.37,Untreated,1.0944444444444446
HC01001,A1,1,180,00d17h30m,1050,Untreated,0,none,none,Untreated,0.8,194,79.7,153.29,542.69,332.97,0.71,0.91,0.55,0.36,1.46,3.43,5.27,Untreated,1.0777777777777777
HC01001,A1,1,180,00d18h00m,1080,Untreated,0,none,none,Untreated,0.8,199,77.89,148.08,544.59,334.22,0.71,0.93,0.54,0.37,1.48,3.41,5.35,Untreated,1.1055555555555556
HC01001,A1,1,180,00d18h30m,1110,Untreated,0,none,none,Untreated,0.8,198,78.31,149.65,536.04,332.97,0.72,0.93,0.54,0.36,1.46,3.44,5.39,Untreated,1.1
HC01001,A1,1,180,00d19h00m,1140,Untreated,0,none,none,Untreated,0.8,199,79.14,151.55,535.92,330.93,0.72,0.92,0.55,0.38,1.46,3.5,5.57,Untreated,1.1055555555555556
HC01001,A1,1,180,00d19h30m,1170,Untreated,0,none,none,Untreated,0.8,199,80.59,151.57,532.89,334,0.72,0.93,0.56,0.38,1.52,3.55,5.65,Untreated,1.1055555555555556
HC01001,A1,1,180,00d20h00m,1200,Untreated,0,none,none,Untreated,0.8,202,80.19,150.35,527.81,331.12,0.73,0.93,0.56,0.38,1.51,3.61,5.71,Untreated,1.1222222222222222
HC01001,A1,1,180,00d20h30m,1230,Untreated,0,none,none,Untreated,0.8,203,80,149.14,530.34,334.22,0.72,0.93,0.55,0.36,1.51,3.55,5.46,Untreated,1.1277777777777778
HC01001,A1,1,180,00d21h00m,1260,Untreated,0,none,none,Untreated,0.8,203,80.27,152.62,531.14,333.44,0.73,0.94,0.55,0.38,1.46,3.49,5.33,Untreated,1.1277777777777778
HC01001,A1,1,180,00d21h30m,1290,Untreated,0,none,none,Untreated,0.8,204,80.81,152.15,532.55,334.33,0.73,0.94,0.54,0.39,1.52,3.55,5.43,Untreated,1.1333333333333333
HC01001,A1,1,180,00d22h00m,1320,Untreated,0,none,none,Untreated,0.8,202,82.5,155.16,531.87,330.88,0.73,0.94,0.54,0.41,1.48,3.45,5.28,Untreated,1.1222222222222222
HC01001,A1,1,180,00d22h30m,1350,Untreated,0,none,none,Untreated,0.8,202,83.36,152,535.09,333.47,0.72,0.93,0.55,0.38,1.42,3.41,5.16,Untreated,1.1222222222222222
HC01001,A1,1,180,00d23h00m,1380,Untreated,0,none,none,Untreated,0.8,208,81.71,148.09,527.95,336.04,0.73,0.94,0.55,0.39,1.51,3.54,5.43,Untreated,1.1555555555555554
HC01001,A1,1,180,00d23h30m,1410,Untreated,0,none,none,Untreated,0.8,208,82.18,146.53,537.86,340.33,0.74,0.94,0.55,0.4,1.45,3.52,5.38,Untreated,1.1555555555555554
HC01001,A1,1,180,01d00h00m,1440,Untreated,0,none,none,Untreated,0.8,208,82.85,146.91,539.53,340.46,0.73,0.94,0.55,0.4,1.52,3.43,5.43,Untreated,1.1555555555555554
HC01001,A1,1,180,01d00h30m,1470,Untreated,0,none,none,Untreated,0.8,206,83.6,148.82,558.4,341.09,0.71,0.93,0.53,0.36,1.48,3.5,5.37,Untreated,1.1444444444444444
HC01001,A1,1,180,01d01h00m,1500,Untreated,0,none,none,Untreated,0.8,214,82.37,146.02,560.79,339.11,0.7,0.93,0.51,0.34,1.51,3.57,5.52,Untreated,1.1888888888888889
HC01001,A1,1,180,01d01h30m,1530,Untreated,0,none,none,Untreated,0.8,216,81.7,146.54,564.44,336.5,0.7,0.93,0.52,0.34,1.51,3.52,5.49,Untreated,1.2
HC01001,A1,1,180,01d02h00m,1560,Untreated,0,none,none,Untreated,0.8,222,81.28,146.91,573.45,330.39,0.69,0.92,0.52,0.35,1.5,3.56,5.58,Untreated,1.2333333333333334
HC01001,A1,1,180,01d02h30m,1590,Untreated,0,none,none,Untreated,0.8,224,80.82,147.98,558.51,329.81,0.7,0.92,0.53,0.33,1.58,3.81,5.84,Untreated,1.2444444444444445
HC01001,A1,1,180,01d03h00m,1620,Untreated,0,none,none,Untreated,0.8,227,80.86,143.32,554.25,336.32,0.71,0.92,0.53,0.37,1.67,3.82,5.91,Untreated,1.261111111111111
HC01001,A1,1,180,01d03h30m,1650,Untreated,0,none,none,Untreated,0.8,229,81.05,141.1,544.57,335.42,0.72,0.93,0.54,0.34,1.71,3.91,6.11,Untreated,1.2722222222222221
HC01001,A1,1,180,01d04h00m,1680,Untreated,0,none,none,Untreated,0.8,228,81.63,142.9,555.28,336.59,0.72,0.94,0.54,0.35,1.62,3.94,6.11,Untreated,1.2666666666666666
HC01001,A1,1,180,01d04h30m,1710,Untreated,0,none,none,Untreated,0.8,229,82.52,143.59,539.86,335.38,0.72,0.94,0.55,0.35,1.63,3.82,5.93,Untreated,1.2722222222222221
HC01001,A1,1,180,01d05h00m,1740,Untreated,0,none,none,Untreated,0.8,230,82.94,143.84,535.52,336.34,0.72,0.94,0.54,0.37,1.61,3.9,6.03,Untreated,1.2777777777777777
HC01001,A1,1,180,01d05h30m,1770,Untreated,0,none,none,Untreated,0.8,230,83.65,145.22,536.74,336.02,0.73,0.94,0.56,0.38,1.64,3.92,6.22,Untreated,1.2777777777777777
HC01001,A1,1,180,01d06h00m,1800,Untreated,0,none,none,Untreated,0.8,228,84,145.4,531.71,336.21,0.73,0.96,0.56,0.37,1.61,3.96,6.08,Untreated,1.2666666666666666
