x1,x2,x3,x4,x5,x6,x7,x8,x9
alpha,26.17757463,13.053944,18.17032882,10.514219,19.06164135,0.056211956,12.16889687,10.56496608
beta,11.30979463,5.75694129,6.833794639,3.614392627,6.237316825,0.015576589,4.519925891,20.95979777
gamma1,0.175582045,0.004934056,0.002947146,0.000383304,1.650123989,0,0,10.58535535
gamma2,11.13466332,5.729533586,6.808105237,3.592570792,5.225523261,0.004079414,4.596016825,0
drug cons.,0,0.25,1,2.5,5,10,30,100
